duration,joint_1,joint_2,joint_3
1.0,0.0,20.0,30.0
1.0,0.0,20.0,30.0

0.5,-0.0,20.0,30.0
0.5,-0.0,0.0,0.0
2.0,-0.0,0.0,0.0

0.4,-15.0,0.0,0.0
1.6,19.32,68.81,30.35
2.2,19.32,68.81,30.35

0.4,0.0,0.0,0.0
0.5,0.0,0.0,0.0
1.2,0.0,0.0,0.0

1.0,-1.5,36.5,59.0
1.0,-25.0662,72.7655,5.4667
1.0,-25.0662,72.7655,5.4667
2.0,-25.0662,72.7655,5.4667
1.0,-25.0662,72.7655,5.4667
1.0,-25.0662,72.7655,5.4667

1.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
3.2,0.0,0.0,0.0

1.0,0.0,10.0,15.3961
2.5,0.0,10.0,15.3961
1.0,0.0,80.0,80.0
1.3,0.0,80.0,80.0

2.0,20.00,80.0,80.0
0.8,20.00,80.0,80.0

2.0,-4.6570,12.9998,39.5092
1.5,-4.6570,12.9998,39.5092

0.5,-4.6570,13.0025,39.2838
0.5,-4.6570,13.0039,39.0474
0.5,-4.6570,13.0080,38.8111
0.5,-8.3294,35.0297,35.6991

0.5,-2.6570,12.9998,39.5092

0.3,-4.6570,13.0025,39.2838

0.12,-4.6570,13.0039,39.0474
0.12,-4.6570,13.0080,38.8111
0.12,-8.3294,35.0297,35.6991
0.12,-4.6570,13.0080,38.8111
0.12,-4.6570,13.0039,39.0474
0.12,-4.6570,13.0025,39.2838

0.12,-4.6570,13.0039,39.0474
0.12,-4.6570,13.0080,38.8111
0.12,-8.3294,35.0297,35.6991
0.12,-4.6570,13.0080,38.8111
0.12,-4.6570,13.0039,39.0474
0.12,-4.6570,13.0025,39.2838

1.0,-2.6570,12.9998,39.5092


0.12,-4.6570,13.0025,39.2838
0.12,-4.6570,13.0039,39.0474
0.12,-4.6570,13.0080,38.8111
0.12,-8.3294,35.0297,45.6991
0.12,-4.6570,13.0080,38.8111
0.12,-4.6570,13.0039,39.0474
0.12,-4.6570,13.0025,39.2838

0.2,-2.6570,12.9998,39.5092
0.64,-2.6570,12.9998,39.5092

0.5,0.0,0.0,0.0
0.2,0.0,80.0,80.0
0.3,0.0,80.0,80.0
2.0,-5.32850,90.00,100.00
2.7,-5.32850,90.00,100.00
1.0,-5.32850,40.00,40.00
1.0,3.9688,-6.0160,0.0

0.5,3.9688,-6.0160,0.0
0.5,5.8234,2.9518,0.0000
1.0,3.6218,9.7841,0.0
2.0,20.6009,21.5196,0.0000
1.0,20.6009,21.5196,0.0000
1.0,3.6218,9.7841,0.0
0.5,5.8234,2.9518,0.0000
0.5,3.9688,-6.0160,0.0
0.1,10.6695,-1.0623,40.1140
0.3,0.0,0.0,0.0
0.4,2.34912,90.00,100.00
0.5,2.34912,90.00,100.00
1.7,2.34912,90.00,100.00

2.0,0,0,0
0.5,0,0,0

0.8,0.0,20.0,30.0
1.0,0,0,0
0.2,0,0,0

1.0,0,10,30
2.0,0,10,30

3.0,0,0,0

1.6,0,0,0
0.5,-0.4021,13.9715,28.7594

0.4,-0.4021,13.9715,28.7594
0.2,-0.4021,0.0,0.0
0.2,-0.4021,13.9715,28.7594
1.1,-0.4021,13.9715,28.7594

0.5,0,0,0


1.6,0.0,-10.0,0.0

0.38,-6.82,-4.94,44.87
0.38,-6.82,-4.94,44.87

0.28,14.60,-0.7,54.62
0.28,14.60,-0.7,54.62

0.28,-6.82,-4.94,44.87
0.28,-6.82,-4.94,44.87

0.28,14.60,-0.7,54.62
0.28,14.60,-0.7,54.62

0.33,-6.82,-4.94,44.87
0.33,-6.82,-4.94,44.87

1.7,0.0,-10.0,0.0

1.5,4.8,80.8,80.9
3.5,4.8,80.8,80.9

2.0,4.8,13.8,30.9

1.5,0.0,20.0,30.0
1.5,0.0,20.0,30.0
